"N.Registro";"Tipo";"Categoría";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Central Reservas";"Posada Real";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"40/000004";"Casa Rural";"3ª - 3 Estrellas";"AURORA";"Calle ARRIBA 3";"40554";"Segovia";"Maderuelo";"MADERUELO";"MADERUELO";"689989088";"689989088";"";"aurora.maderuelo@hotmail.com";"";"";"";"";"9";"-3,5219322";"41,4864665";"";
"40/000011";"Casa Rural";"3ª - 3 Estrellas";"AURORA II";"Calle ARRIBA 3";"40554";"Segovia";"Maderuelo";"MADERUELO";"MADERUELO";"689989088";"";"";"aurora.maderuelo@hotmail.com";"";"";"";"";"6";"-3,5219322";"41,4864665";"";
"05/000004";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"EL BARRANCO";"Finca EL BARRANCO";"05100";"Ávila";"Navaluenga";"NAVALUENGA";"NAVALUENGA";"608621059";"";"";"barrancoyvaldebruna@yahoo.es";"www.barrancoyvaldebruna.com";"";"";"";"8";"-4,7057041";"40,4126514";"";
"05/000049";"Casa Rural de Alquiler";"1ª - 1 Estrella";"LA CABEZUELA";"Calle CABEZUELA S/N";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"920349006";"625418778";"";"reservas@gredos-rural.com";"www.gredos-rural.com";"";"";"";"4";"-5,1762274";"40,3586809";"";
"37/000058";"Casa Rural de Alojamiento Compartido";"1ª - 1 Estrella";"LA CANCHERA";"Calle SALAMANCA 12";"37511";"Salamanca";"Agallas";"AGALLAS";"AGALLAS";"923490309";"696722318";"";"";"";"";"";"";"10";"-6,4427912";"40,4494964";"Si";
"34/000028";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"CASA 1";"Barrio VALORIA 21 1";"34815";"Palencia";"Aguilar de Campoo";"VALORIA DE AGUILAR";"VALORIA DE AGUILAR";"979122000";"639953668";"";"reservas@alojamientosconhistoria.com";"www.posadasantamarialareal.com";"";"";"";"4";"-4,2390083";"42,8568556";"Si";
"34/000031";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"CASA 2";"Barrio VALORIA 21 1";"34815";"Palencia";"Aguilar de Campoo";"VALORIA DE AGUILAR";"VALORIA DE AGUILAR";"979122000";"639953668";"";"reservas@alojamientosconhistoria.com";"www.posadasantamarialareal.com";"";"";"";"4";"-4,275397";"42,767564";"Si";
"34/000032";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"CASA 3";"Barrio VALORIA 1";"34815";"Palencia";"Aguilar de Campoo";"VALORIA DE AGUILAR";"VALORIA DE AGUILAR";"979122000";"639953668";"";"reservas@alojamientosconhistoria.com";"www.posadasantamarialareal.com";"";"";"";"4";"-4,2390083";"42,8568556";"Si";
"34/000033";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"CASA 4";"Barrio VALORIA 21 1";"34815";"Palencia";"Aguilar de Campoo";"VALORIA DE AGUILAR";"VALORIA DE AGUILAR";"979122000";"639953668";"";"reservas@alojamientosconhistoria.com";"www.posadasantamarialareal.com";"";"";"";"4";"-4,2390083";"42,8568556";"Si";
"34/000029";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"CASA 5 ""TORRE""";"Barrio VALORIA 21 1";"34815";"Palencia";"Aguilar de Campoo";"VALORIA DE AGUILAR";"VALORIA DE AGUILAR";"979122000";"639953668";"";"reservas@alojamientosconhistoria.com";"www.posadasantamarialareal.com";"";"";"";"4";"-4,275397";"42,767564";"Si";
"34/000041";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CASA ANTI";"Calle MAYOR, 2";"34886";"Palencia";"Velilla del Río Carrión";"VELILLA DEL RIO CARRION";"VELILLA DEL RIO CARRION";"979861170";"630188980";"";"antifm@hotmail.es";"www.perso.wanadoo.es/casa.rural.anti";"";"";"";"5";"-4,8442719";"42,827651";"";
"24/000013";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"CASA ANTONIO";"Plaza  EL FERIAL 35";"24439";"León";"Vega de Espinareda";"ESPINO (EL)";"ESPINO (EL)";"987568588";"";"";"guialro@hotmail.com";"";"";"";"";"6";"-6,7132594";"42,7313872";"";
"34/000027";"Casa Rural de Alquiler";"1ª - 1 Estrella";"CASA AZUL ""B""";"Barrio  DE ABAJO S/N";"34811";"Palencia";"Aguilar de Campoo";"CANDUELA";"CANDUELA";"979122000";"639953668";"";"reservas@alojamientosconhistoria.com";"www.posadasantamarialareal.com";"";"";"";"2";"-4,272319";"42,7899486";"Si";
"34/000008";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CASA CALDERON";"Calle MUNIO NUÑEZ";"34829";"Palencia";"Brañosera";"BRAÑOSERA";"BRAÑOSERA";"979607426";"";"";"";"";"";"";"";"10";"-4,3081496";"42,9364513";"";
"05/000045";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"CASA  ABILIO";"Calle GENERAL SANJUJO 26";"05560";"Ávila";"Villatoro";"VILLATORO";"VILLATORO";"626583505";"920230126";"";"";"";"";"";"";"5";"-5,1132493";"40,5558985";"";
"40/000008";"Casa Rural";"2ª - 2 Estrellas";"LA  ABUELA RUFA";"Calle JOSE ANTONIO 7";"40330";"Segovia";"Fuenterrebollo";"FUENTERREBOLLO";"FUENTERREBOLLO";"921521004";"659917420";"";"abuelarufa@gmail.com";"";"";"";"";"8";"-3,9317018";"41,3001134";"";
"37/000054";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"LA PANADERIA";"Calle SIMON LOPEZ 13";"37710";"Salamanca";"Candelario";"CANDELARIO";"CANDELARIO";"923402998";"699922412";"";"majosevegas@hotmail.com";"www.casarurallapanaderia";"";"";"";"6";"-5,7441254";"40,3671779";"Si";
"24/000032";"Hotel Rural";"2ª - 2 Estrellas";"A CASA DE LAMAS";"Calle DEL VAL S/N";"24525";"León";"Balboa";"CANTEJEIRA";"CANTEJEIRA";"606363906";"";"";"";"";"";"";"";"12";"-6,9222341";"42,7061635";"Si";
"37/000017";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CASA DE LAS ERAS";"Calle LAS ERAS 43";"37658";"Salamanca";"Villanueva del Conde";"VILLANUEVA DEL CONDE";"VILLANUEVA DEL CONDE";"923362513";"629853129";"";"";"";"";"";"";"7";"-6,0119689";"40,5103691";"";
"05/000043";"Casa Rural de Alquiler";"1ª - 1 Estrella";"CASA DE ROSARIO";"Calle IGLESIA S/N";"05154";"Ávila";"Narrillos del Álamo";"NARRILLOS DEL ALAMO";"NARRILLOS DEL ALAMO";"625964862";"920209130";"";"";"";"";"";"";"9";"-5,4667623";"40,5667652";"";
"34/000044";"Posada";"4ª - 4 Estrellas";"LA CASA DEL ABAD DE AMPUDIA";"Plaza FRANCISCO MARTIN GROMAZ 12";"34191";"Palencia";"Ampudia";"AMPUDIA";"AMPUDIA";"979768008";"";"";"hotel@casadelabad.com";"www.casadelabad.com";"";"";"";"51";"-4,780412";"41,913804";"Si";
"42/000002";"Posada";"4ª - 4 Estrellas";"ENCLAVE SORIA";"Calle SAN ROQUE 22";"42145";"Soria";"Cidones";"HERREROS";"HERREROS";"975270471";"699739170";"";"enclavesoria@gmail.com";"www.enclavesoria.es";"";"";"";"24";"-2,712427";"41,816517";"";
"05/000039";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"CASA DEL MEDICO";"Plaza DE ESPAÑA 5";"05123";"Ávila";"Hoyocasero";"HOYOCASERO";"HOYOCASERO";"920206204";"685886664";"";"casasdegredos@diputacionavila.es";"www.casasgredos.com";"";"";"";"7";"-4,9748707";"40,3990752";"";
"34/000001";"Hotel Rural";"2ª - 2 Estrellas";"CASA EBRO";"Plaza MAYOR s/n";"39250";"Palencia";"Berzosilla";"OLLEROS DE PAREDES RUBIAS";"OLLEROS DE PAREDES RUBIAS";"979181323";"699491953";"";"carlos.lamalfa@hotmail.com";"";"";"";"";"19";"-4,0112962";"42,779892";"Si";
"34/000043";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CASA EL PORTILLO";"Calle JUAN CARLOS I 14";"34492";"Palencia";"Aguilar de Campoo";"MAVE";"MAVE";"979125026";"630294729";"";"";"casaelportillo@gmail.com";"";"";"";"7";"-4,274527";"42,7355822";"";
"24/000049";"Casa Rural de Alquiler";"1ª - 1 Estrella";"CASA TOMILLO";"Calle REAL S/N";"24132";"León";"Riello";"PANDORADO";"PANDORADO";"987260552";"";"";"MAJOMA68@gmail.com";"";"";"";"";"4";"-5,9447454";"42,775092";"Si";
"34/000012";"Casa Rural de Alojamiento Compartido";"3ª - 3 Estrellas";"CASA GOYETES";"Calle EL VALLE 4";"34840";"Palencia";"Cervera de Pisuerga";"CERVERA DE PISUERGA";"CERVERA DE PISUERGA";"979870568";"680387102";"";"";"";"";"";"";"10";"-4,5004945";"42,8617157";"";
"42/000001";"Posada";"4ª - 4 Estrellas";"LA CASA GRANDE DE QUINTANAS DE GORMAZ";"Camino DE LAS FUENTES S/N";"42313";"Soria";"Quintanas de Gormaz";"QUINTANAS DE GORMAZ";"CENTRO";"975340982";"";"";"reservas@casagrandegormaz.com";"www.casagrandegormaz.com";"";"";"";"19";"-2,97982";"41,5016667";"Si";
"37/000008";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"CASA JOSE MARIA";"Calle  BARRIO NUEVO 11 1º";"37658";"Salamanca";"Villanueva del Conde";"VILLANUEVA DEL CONDE";"VILLANUEVA DEL CONDE";"923437069";"667264613";"";"casajosemaria@casasenbatuecas.com";"www.casasenbatuecas.com";"";"";"";"5";"-6,012958";"40,511302";"";
"05/000040";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CASA LA CENTRAL-LA HIGUERILLA";"Calle SANTISIMO CRISTO DEL CAÑO S/N";"05600";"Ávila";"Barco de Ávila (El)";"BARCO DE AVILA (EL)";"BARCO DE AVILA (EL)";"920340415";"";"";"lahiguerilla@hotmail.com";"www.casasdetlormes.com";"";"";"";"10";"-5,5190736";"40,3578257";"Si";
"05/000041";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CASA LA CENTRAL-PEÑAGORDA";"Calle SANTISIMO CRISTO DEL CAÑO S/N";"05600";"Ávila";"Barco de Ávila (El)";"BARCO DE AVILA (EL)";"BARCO DE AVILA (EL)";"920206204";"";"";"lahiguerilla@hotmail.com";"wwwcasasdeltormes.com";"";"";"";"5";"-5,5190736";"40,3578257";"Si";
"34/000009";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CASA LAS TUERCES";"Calle DE LA CONCEPCION 7";"34815";"Palencia";"Pomar de Valdivia";"VILLALLANO";"VILLALLANO";"979123166";"979123166";"666965636";"";"www.casasdegamaylastuerces.com";"";"";"";"13";"-4,2385952";"42,7647237";"";
"24/000048";"Casa Rural de Alquiler";"1ª - 1 Estrella";"CASA SANTOLINA";"Calle REAL S/N";"24132";"León";"Riello";"PANDORADO";"PANDORADO";"987260552";"680770746";"";"MAJOMA68@gmail.com";"";"";"";"";"4";"-5,9447454";"42,775092";"Si";
"37/000039";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CASA LOPEZ";"Calle CERRADA 4";"37659";"Salamanca";"San Martín del Castañar";"SAN MARTIN DEL CASTAÑAR";"SAN MARTIN DEL CASTAÑAR";"923221818";"601220657";"";"casarurallopez@yahoo.es";"www.facebook.com/casarurallopez; www.casalopez.webcindario.com";"";"";"";"4";"-6,0643555";"40,521863";"";
"37/000012";"Casa Rural de Alojamiento Compartido";"3ª - 3 Estrellas";"CASA LUCIA";"Calle NUEVA 14";"37610";"Salamanca";"Mogarraz";"MOGARRAZ";"MOGARRAZ";"652427027";"923269893";"";"";"";"";"";"";"4";"-6,0523038";"40,4923914";"";
"37/000019";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"CASA Mª LUZ";"Calle HUMILLADERO, S/N";"37659";"Salamanca";"Casas del Conde (Las)";"CASAS DEL CONDE (LAS)";"CASAS DEL CONDE (LAS)";"916945598";"628567745";"";"casamariluz@casamariluz.com";"www.casamariluz.com";"";"";"";"6";"-6,0412706";"40,5077673";"";
"37/000047";"Casa Rural de Alojamiento Compartido";"1ª - 1 Estrella";"CASA MANOLI";"Calle CAMINO DE LA FUENTE GRANDE 7";"37660";"Salamanca";"Miranda del Castañar";"MIRANDA DEL CASTAÑAR";"MIRANDA DEL CASTAÑAR";"923432417";"659357532";"";"";"";"";"";"";"10";"-5,999546";"40,485412";"";
"34/000015";"Hotel Rural";"2ª - 2 Estrellas";"CASA MEDIAVILLA";"Calle EL CORTIJO S/N";"34839";"Palencia";"Cervera de Pisuerga";"LIGUERZANA";"LIGUERZANA";"979877636";"649482367";"";"";"";"";"";"";"13";"-4,5077053";"42,8613702";"";
"34/000016";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"MOLINO DE MATAZORITA I";"Calle PAGO DE MATAZORITA, S/N";"34111";"Palencia";"Villaluenga de la Vega";"BARRIOS DE LA VEGA";"BARRIOS DE LA VEGA";"979747494";"686699162";"629661582";"enedinacuesta@gmail.com";"www.molinomatazorita.com";"";"";"";"2";"-4,7669926";"42,5241645";"";
"40/000009";"Casa Rural";"4ª - 4 Estrellas";"LA CASA DE PACO MARTIN";"Calle LA VEGA 3";"40181";"Segovia";"Turégano";"CUESTA (LA)";"CUESTA (LA)";"921404367";"620923763";"";"info@lacasadepacomartin.com";"www.lacasadepacomartin.com";"";"";"";"10";"-3,9603556";"41,0827167";"Si";
"24/000021";"Casa Rural de Alquiler";"1ª - 1 Estrella";"CASA PEPON";"Calle LA CALLEJA, 36";"24430";"León";"Vega de Espinareda";"VEGA DE ESPINAREDA";"VEGA DE ESPINAREDA";"987568657";"606517537";"";"INFO@CASASDEROGELIA.COM";"WWW.CASADEROGELIA.COM";"";"";"";"6";"-6,655783";"42,727378";"Si";
"24/000054";"Casa Rural de Alquiler";"1ª - 1 Estrella";"CASA ROGELIA";"Calle LA CALLEJA 32";"24430";"León";"Vega de Espinareda";"VEGA DE ESPINAREDA";"VEGA DE ESPINAREDA";"987173944";"";"";"INFO@CASASDEROGELIA.COM";"WWW.CASASDEROGELIA.COM";"";"";"";"2";"-6,655783";"42,727378";"Si";
"34/000026";"Casa Rural de Alquiler";"1ª - 1 Estrella";"CASA ROJA ""A""";"Barrio  DE ABAJO S/N";"34811";"Palencia";"Aguilar de Campoo";"CANDUELA";"CANDUELA";"979122000";"639953668";"";"reservas@alojamientosconhistoria.com";"www.posadasantamarialareal.com";"";"";"";"2";"-4,19126";"42,83427";"Si";
"34/000006";"Casa Rural de Alojamiento Compartido";"3ª - 3 Estrellas";"CASA SIMON";"Calle SAN ANTONIO 12";"34843";"Palencia";"Cervera de Pisuerga";"ARBEJAL";"ARBEJAL";"979870727";"677672161";"";"";"www.casa-simon.com";"";"";"";"10";"-4,4977637";"42,868001";"";
"34/000003";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CASA TARABAS";"Plaza  LA ENCINA 10";"34850";"Palencia";"Castrejón de la Peña";"CASTREJON DE LA PEÑA";"CASTREJON DE LA PEÑA";"979877155";"696333275";"";"tarabas93@hotmail.com";"www.casaruraltarabas.com";"";"";"";"10";"-4,5999746";"42,8084496";"Si";
"37/000031";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CASA TERESA";"Calle BARRIO NUEVO 11  Bjº";"37658";"Salamanca";"Villanueva del Conde";"VILLANUEVA DEL CONDE";"VILLANUEVA DEL CONDE";"923437576";"667264613";"";"miscasitas@hotmail.com";"www.casasenbatuecas.com";"";"";"";"4";"-6,0119728";"40,5128111";"";
"34/000022";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"CASA VALDENIEVAS";"Calle CALLE CHICA 3";"34842";"Palencia";"Triollo";"VIDRIEROS";"VIDRIEROS";"979866163";"979870471";"";"";"";"";"";"";"5";"-4,6648143";"42,9423824";"Si";
"37/000004";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CASA VICTORIA 1";"Calle ELOY BULLON, 21 IZDA";"37656";"Salamanca";"Cepeda";"CEPEDA";"CEPEDA";"923 432116";"";"";"";"";"";"";"";"2";"-6,0402395";"40,4657541";"";
"37/000005";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CASA VICTORIA 2";"Calle ELOY BULLON 211";"37656";"Salamanca";"Cepeda";"CEPEDA";"CEPEDA";"923432116";"699372771";"";"turismoruralcepeda@hotmail.com";"";"";"";"";"2";"-6,0402395";"40,4657541";"";
"34/000038";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CASAS DE GAMA LOS  TEJOS";"Calle REAL S/N";"34815";"Palencia";"Aguilar de Campoo";"GAMA";"GAMA";"979123166";"666965636";"";"";"www.casasdegamaylastuerces.com";"";"";"";"5";"-4,210337";"42,748457";"";
"34/000039";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CASAS DE GAMA LOS ALAMOS";"Calle REAL. S/N.";"34815";"Palencia";"Aguilar de Campoo";"GAMA";"GAMA";"979123166";"666965636";"";"";"www.casasdegamaylastuerces.com";"";"";"";"9";"-4,21023";"42,748339";"";
"34/000040";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"EL CASUCO";"Calle Palombar";"34847";"Palencia";"Pernía (La)";"SANTA MARIA DE REDONDO";"SANTA MARIA DE REDONDO";"979870758";"934196932";"";"elcasuco@yahoo.es";"";"";"";"";"5";"-4,433492";"42,990764";"";
"37/000023";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"CLOTILDE";"Calle ALTOZANO 5";"37658";"Salamanca";"Garcibuey";"GARCIBUEY";"GARCIBUEY";"657305444";"";"";"garcibuey@hotmail.es";"";"";"";"";"5";"-5,9930315";"40,5159967";"";
"05/000044";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"EL CORRAL";"Calle LA CRUZ S/N  bajo";"05635";"Ávila";"Navarredonda de Gredos";"NAVARREDONDA DE GREDOS";"NAVARREDONDA DE GREDOS";"615105508";"920348052";"";"info@lavistadegredos.com";"www.lavistadegredos.com";"";"";"";"5";"-5,1355014";"40,3623099";"";
"47/000011";"Casa Rural de Alquiler";"4ª - 4 Estrellas";"EL CORRAL DE ESCUELA";"Calle SANTA ISABEL 17";"47318";"Valladolid";"Peñafiel";"MELIDA";"MELIDA";"653847711";"983470917";"";"melidawines@gmail.com";"www.casaruralenpenafiel.es";"";"";"";"8";"-4,078121";"41,580171";"";
"47/000001";"Hotel Rural";"3ª - 3 Estrellas";"DON AGUSTIN";"Calle MAYOR 4";"47830";"Valladolid";"Tordehumos";"TORDEHUMOS";"TORDEHUMOS";"619989852";"983714586";"";"cdrsequillo@telefonica.net";"";"";"";"";"10";"-5,1583349";"41,8143655";"Si";
"24/000012";"Casa Rural de Alquiler";"1ª - 1 Estrella";"LA DORSINDA";"Calle FUENTE DE ABAJO, 37";"24435";"León";"Vega de Espinareda";"VALLE DE FINOLLEDO";"VALLE DE FINOLLEDO";"987568563";"659775689";"";"casadorsinda@hotmail.es";"www.ancares-seo.com/alojamientos/casa13htm";"";"";"";"5";"-6,7132594";"42,7313872";"";
"34/000004";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"ENTREPEÑAS";"Calle PEÑA 2";"34839";"Palencia";"Mudá";"MUDA";"MUDA";"979701999";"";"";"info@casaentrenidos.com";"www.casaentrenidos.com";"";"";"";"8";"-4,394964";"42,875041";"";
"24/000042";"Casa Rural de Alojamiento Compartido";"2ª - 2 Estrellas";"LA ERA I";"Calle REAL 4";"24995";"León";"Burón";"LARIO";"LARIO";"987740096";"616163638";"";"";"";"";"";"";"8";"-5,093227";"43,0401623";"Si";
"24/000037";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"FAUNA";"Calle LA ERA 45";"24154";"León";"Vegas del Condado";"VILLANUEVA DEL CONDADO";"VILLANUEVA DEL CONDADO";"987340272";"616878790";"";"casasruralesdeleon@gmail.com";"www.casasruralesdeleon.net";"";"";"";"4";"-5,3874457";"42,6633378";"Si";
"24/000050";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"FAUNA 2";"Calle LA ERA, 45";"24154";"León";"Vegas del Condado";"VILLANUEVA DEL CONDADO";"VILLANUEVA DEL CONDADO";"987340272";"";"";"casasruralesdeleon@gmail.com";"www.casasruralesdeleon.net";"";"";"";"3";"-5,3874457";"42,6633378";"Si";
"37/000003";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"FRUTOS";"Calle SAHUCO, 1";"37671";"Salamanca";"San Esteban de la Sierra";"SAN ESTEBAN DE LA SIERRA";"SAN ESTEBAN DE LA SIERRA";"923139305";"661556887";"";"juangordo@redfarma.org";"www.casaruralfrutos.net";"";"";"";"6";"-5,9050374";"40,5058234";"";
"37/000064";"Casa Rural de Alojamiento Compartido";"4ª - 4 Estrellas";"LA FUENTE ARRIBA";"Plaza DEL BANCO, 1";"37610";"Salamanca";"Mogarraz";"MOGARRAZ";"MOGARRAZ";"923418097";"629643010";"649902024";"infoyreservas@crfuentearriba.com; fuentearriba@terra.es";"";"";"";"";"4";"-6,0538083";"40,4920251";"";
"05/000052";"Casa Rural de Alojamiento Compartido";"3ª - 3 Estrellas";"LAS GESILLAS";"Carretera Candeleda 5,4";"05400";"Ávila";"Arenas de San Pedro";"ARENAS DE SAN PEDRO";"ARENAS DE SAN PEDRO";"920370818";"615293989";"";"lasgesillas@web.de";"www.lasgesillas.es";"";"";"";"10";"-5,0845447";"40,2110653";"";
"37/000033";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"HIDALGO";"Calle LAS ERAS 19";"37658";"Salamanca";"Villanueva del Conde";"VILLANUEVA DEL CONDE";"VILLANUEVA DEL CONDE";"923437582";"678096305";"";"casahidalgovillanueva@hotmail.com";"www.sierradesalamanca.com";"";"";"";"8";"-6,0119689";"40,5103691";"Si";
"37/000048";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"EL HINOJO";"Calle AYUNTAMIENTO 11";"37219";"Salamanca";"Pozos de Hinojo";"POZOS DE HINOJO";"POZOS DE HINOJO";"923500390";"625571568";"";"andrefran07@hotmail.com";"";"";"";"";"13";"-6,4093856";"40,9150448";"";
"37/000063";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"IRENE";"Calle LOS ALMENDROS 3";"37510";"Salamanca";"Agallas";"AGALLAS";"AGALLAS";"923462722";"600280564";"";"casairene@dtinformatica.com";"www.casairene.es";"";"";"";"7";"-6,4415422";"40,4488006";"";
"37/000052";"Casa Rural de Alquiler";"3ª - 3 Estrellas";"IVANREY";"Calle LOS TILOS, 8";"37500";"Salamanca";"Ciudad Rodrigo";"IVANREY";"IVANREY";"923480162";"";"";"";"";"";"";"";"10";"-6,560914";"40,6078153";"";
"37/000022";"Casa Rural de Alquiler";"2ª - 2 Estrellas";"LA LANCHA";"Calle LA LANCHA 3";"37540";"Salamanca";"Fuenteguinaldo";"FUENTEGUINALDO";"FUENTEGUINALDO";"923471027";"689222115";"";"lalancha@dtinformatica";"www.casalalancha.com";"";"";"";"5";"-6,675621";"40,4276346";"";
"37/000025";"Hotel Rural";"3ª - 3 Estrellas";"PORTA COELI";"Calle DEHESA DE SANTA LUCIA S.N.";"37659";"Salamanca";"San Martín del Castañar";"SAN MARTIN DEL CASTAÑAR";"SAN MARTIN DEL CASTAÑAR";"655039463";"923437501";"";"info@ruralportacoeli.com";"www.ruralportacoeli.com";"";"";"";"40";"-6,0426187";"40,5089085";"Si";
"40/000012";"Casa Rural";"2ª - 2 Estrellas";"MARIA LUISA";"Calle ENCIMERA 5";"40514";"Segovia";"Ayllón";"SALDAÑA DE AYLLON";"SALDAÑA DE AYLLON";"921555187";"";"";"";"";"";"";"";"5";"-3,4236124";"41,3847052";"";
"24/000033";"Hotel Rural";"1ª - 1 Estrella";"MIRAVALLES";"Carretera DE ANCARES S/N";"24433";"León";"Candín";"BALOUTA";"BALOUTA";"987689989";"";"";"INFO@CTRMIRAVALLES.COM";"WWW.CTRMIRAVALLES.COM";"";"";"";"20";"-6,7279541";"42,8165297";"Si";
